"Parent’s age (years)","Parent’s sex","Parent’s education level","Employment status","Family type","Your average household income per month (BDT)","Child’s sex","Child’s age (years)","Number of children","Who is the leading child caregiver at home?","Are grandparents at home involved in treatment decisions when your child is ill?","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","knowledge_score","antibiotic_knowledge","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","attitude_score","attitude_knowledge","Q23","Q24","Q25","Q26","Q27","Q28","practice_score","practice_knowledge","Source(s) of information about antibiotics","Information provided by pharmaceutical companies leaflet","Information from prescribers","Information from dispensers","Information from nurses","Information given by a colleague","Information from University courses","Internet","Social media","Others...49"
"> 45","Male","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Father","Often",NA,NA,NA,0,NA,0,0,NA,1,0,NA,NA,20,"Poor",1,0,1,1,0,1,1,1,1,0,70,"Uncertain",0,1,1,1,1,0,66.6666666666667,"inappropriate","Information from prescribers  Others",0,1,0,0,0,0,0,0,1
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",1,1,1,1,0,1,0,0,1,1,1,1,75,"Moderate",1,1,1,0,1,0,1,1,1,0,70,"Uncertain",1,1,1,0,1,0,66.6666666666667,"inappropriate","Information from prescribers",0,1,0,0,0,0,0,0,0
"36–45","Male","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Always",1,1,1,1,1,1,0,1,1,NA,1,0,81.8181818181818,"Good",0,1,1,1,1,0,0,1,1,1,70,"Uncertain",0,0,1,0,0,0,16.6666666666667,"inappropriate","Information from prescribers",0,1,0,0,0,0,0,0,0
"36–45","Male","Postgraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",1,NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,75,"Moderate",0,0,0,1,1,0,1,0,1,1,50,"Uncertain",0,1,1,0,0,1,50,"inappropriate","Social media  Information from prescribers",0,1,0,0,0,0,0,1,0
"36–45","Male","Postgraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",1,NA,NA,1,0,1,0,1,1,0,NA,0,55.5555555555556,"Moderate",1,1,1,1,0,0,1,1,1,0,70,"Uncertain",1,0,1,1,0,0,50,"inappropriate","Information provided by pharmaceutical companies leaflet  Social media",1,0,0,0,0,0,0,1,0
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,1,1,1,0,1,0,1,0,0,NA,0,54.5454545454545,"Moderate",1,1,1,1,0,0,0,1,0,1,60,"Uncertain",0,0,1,0,0,1,33.3333333333333,"inappropriate","Information from prescribers",0,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9",">= 3","Mother","Never",NA,NA,NA,1,NA,1,0,NA,NA,NA,NA,NA,66.6666666666667,"Moderate",1,1,0,0,0,0,1,1,1,0,50,"Uncertain",1,1,1,1,0,0,66.6666666666667,"inappropriate","Information from prescribers  Information provided by pharmaceutical companies leaflet",1,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",1,1,1,1,0,1,0,1,1,1,1,1,83.3333333333333,"Good",1,1,1,0,0,0,1,1,1,0,60,"Uncertain",1,1,1,0,1,0,66.6666666666667,"inappropriate","Information from prescribers",0,1,0,0,0,0,0,0,0
"36–45","Male","Undergraduate","Self employed","Single parent family","Low (less than 30000 BDT)","Male","> 10",">= 3","Mother","Never",1,1,1,1,0,1,0,NA,1,0,0,0,54.5454545454545,"Moderate",1,1,0,1,0,0,0,0,0,0,30,"Negative",0,0,1,0,0,0,16.6666666666667,"inappropriate","Information from prescribers  Internet  Social media",0,1,0,0,0,0,1,1,0
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,33.3333333333333,"Poor",0,1,1,0,0,0,1,1,1,0,50,"Uncertain",0,0,1,0,0,0,16.6666666666667,"inappropriate","Information from prescribers",0,1,0,0,0,0,0,0,0
